商品名稱,品牌名稱,累積金額,產品單價,產品網址,產品規格
日本 Toffy 復古美型氣炸烤箱,TOFFY,10064830.0,4990,https://market.icook.tw//products/toffy-airoven,"品名：日本 Toffy 復古美型氣炸烤箱,內容物：主機＋烤盤＋烤架＋集屑盤＋烤網籃＋把手,型號：K-TS5,尺寸：<code>主機</code> W32.5 x D31.5 x H33cm,電線長度：約 1m,重量：4.6kg,電壓：110V／60Hz,功率：1200W,定時：60 分鐘,溫度調節：<code>發酵</code> 40°C／<code>其他模式</code> 60~230°C,功能：氣炸、烘烤、燒烤、慢烤、發酵,材質：<code>主機</code> 不鏽鋼、鋼、玻璃、ABS／<code>烤盤</code> 鋁合金+不沾塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R39578,產品責任險：本產品已投保新光產險 3200 萬產品責任險"
美國松木纖維抗菌砧板,品幸福,7479160.0,1290,https://market.icook.tw//products/lifehappiness,"品名：品幸福超抗菌木纖維圓板,尺寸： W40.5 x D30.5 x H0.6cm,重量：856g,材質：松木纖維、樹脂,耐熱：170°C,內容物：圓板、矽膠防滑墊片,產地：台灣品牌，台灣設計，中國製造,<span style=""color: #c0504d;"">注意事項：</span>"
GREENIS 全方位智慧料理機,GREENIS,4295720.0,32900,https://market.icook.tw//products/greenis,"品名：GREENIS 全方位智慧料理機,內容物：不鏽鋼主鍋＋主鍋上蓋＋玻璃上蓋＋不鏽鋼蒸鍋＋不鏽鋼蒸盤＋不鏽鋼網籃＋量杯蓋＋矽膠刮刀＋四葉刀頭＋蝴蝶刀＋一葉刀頭（炒菜刀頭需額外加購）,尺寸：<code>主機+主鍋組</code> W40 x D19 x H31.5cm／<code>主機+蒸架組</code> W46 x D30 x H44cm／<code>主鍋</code> W25 x D19 x H22.2cm（廣口17cm）／<code>主鍋上蓋</code> W24.5 x D20.5 x H5.5cm／<code>玻璃上蓋</code> W32.5 x D26.5 x H7.5cm／<code>不鏽鋼蒸鍋</code> W35.5 x D25.3 x H9cm／<code>四葉刀頭</code> W13.5 x D13.5 x H9cm／<code>蝴蝶刀</code> W14 x D2.3 x H15cm／<code>量杯蓋</code> W8 x D8 x H6cm／<code>不鏽鋼蒸盤</code> W37 x D27.5 x H4.5cm／<code>不鏽鋼網籃</code> W16 x D16 x H7.5cm／<code>一字刀頭</code> W8 x D4 x H11cm／<code>矽膠刮刀</code> W24 x D5 x H1.2cm,容量：<code>主鍋</code> 2000ml,重量：<code>主機+主鍋</code> 3.8kg／<code>主機+蒸架組</code> 5.5kg／<code>主鍋</code> 1.2kg,額定電壓：110V／60Hz,耗電瓦數：1400W（攪拌 550W／加熱 850W）,攪拌轉速：32000 轉／分鐘,秤重範圍：1~5000g,材質：<code>主鍋</code> SUS 304 不鏽鋼、ABS／<code>主鍋上蓋</code> PP、食品級矽膠／<code>玻璃上蓋</code> SUS 304 不鏽鋼、耐熱玻璃、PA／<code>不鏽鋼蒸鍋+不鏽鋼蒸盤</code>  SUS304不鏽鋼、食品級矽膠、PA／<code>不鏽鋼網籃</code> SUS 304 不鏽鋼／<code>四葉刀頭＋一字刀頭</code> 高碳不鏽鋼、食品級矽膠／<code>蝴蝶刀</code> PA、食品級矽膠／<code>量杯蓋</code> PP／<code>矽膠刮刀</code> 食品級矽膠／<code>炒菜刀頭</code> 高碳不鏽鋼、食品級矽膠,耐熱：<code>主鍋</code> -25～105°C／<code>蝴蝶刀</code> -40～220°C／<code>矽膠刮刀</code> -40～220°C,產地：歐洲品牌，中國製造，台灣監製"
小嵐立式美髮吹風機,meekee,4091800.0,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,顏色：櫻花粉、薄荷綠,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
日本麗克特質感美型氣炸烤箱,日本 recolte,3687260.0,4680,https://market.icook.tw//products/recolte-oven,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
法國砧板刀具殺菌烘乾機,法國 THOMSON,3593990.0,2490,https://market.icook.tw//products/threeinone-uv,品名：食品真空保鮮袋 10 入組 
日本Toffy 無煙電烤盤,TOFFY,3491960.0,4980,https://market.icook.tw//products/toffy-classic,"品名：日本Toffy 無煙電燒烤盤,內容物：主機、烤網、平煎盤、水盤、專用電源線、使用說明書,型號：K-SY1,顏色：蘋果綠,尺寸：<code>主機</code> W43.7 x D23.5 x H15.5cm／<code>烤網</code> W31.5 x D15cm／<code>平煎盤</code> W33.3 x D13 x H4cm,重量：3050g,電壓：110V／60Hz,功率：1000W,電源線：1.3m,溫度調節 : 保溫(WARM)～強(HI)無段式調節 (約80°C~200°C),材質：<code>烤盤</code> 304 不鏽鋼+不沾塗層／<code>機體、上蓋</code> 金屬合金／<code>平煎盤</code> 金屬合金＋不沾黏塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼 : R39578,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
韓國Damda 摺疊置物籃/購物車,韓國 Damda,3283739.0,1090,https://market.icook.tw//products/damda,"品名：【購物車專用】彈力固定繩,顏色：米色、黃色、粉色,尺寸：<code>繩長</code> 171.5cm／<code>掛鈎</code> 5.5cm,材質：聚酯+PP,產地：韓國品牌，韓國設計，中國製造"
日本麗克特Hot Plate電烤盤,日本 recolte,3009770.0,2980,https://market.icook.tw//products/recolte-hotplate,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
法國三合一UV殺菌智能烘碗機,法國 THOMSON,1746440.0,4280,https://market.icook.tw//products/thomson-dishdryer,"<img alt="""" class=""lazyload"" data-src=""https://uploads-market.icook.network/uploads/staff_asset/data/18802/c6109484e2.jpg"" data-srcset=""https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18802%2Fc6109484e2.jpg&amp;width=1440 1440w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18802%2Fc6109484e2.jpg&amp;width=800 800w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18802%2Fc6109484e2.jpg&amp;width=440 440w"" height=""465"" sizes=""(max-width: 767px) calc(100vw - 60px), 800px"" src=""data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="" style=""aspect-ratio: 800 / 465;"" width=""800""/><img alt="""" class=""lazyload"" data-src=""https://uploads-market.icook.network/uploads/staff_asset/data/18682/a5492336a8.jpg"" data-srcset=""https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=1440 1440w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=800 800w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=440 440w"" height=""900"" sizes=""(max-width: 767px) calc(100vw - 60px), 800px"" src=""data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="" style=""aspect-ratio: 800 / 900;"" width=""800""/>品名：法國 Thomson 三合一 UV殺菌智能烘乾機,產地：法國品牌，中國製造,檢驗：<a href=""https://imgur.com/rpbS8rg"" rel=""nofollow noopener"" target=""_blank"">符合經濟部 TAF 標準檢驗</a>"
DMO 復古義式雙膠囊咖啡機,韓國 OSNER,1366160.0,5880,https://market.icook.tw//products/dmo-coffee,"品名：ELCONA 韓國經典電動咖啡磨豆機,磨豆數：20～70g,保固：3 年,產地：韓國品牌，韓國設計，中國製造"
one-meter智能高速破壁冷熱調理機,one meter,1264920.0,4980,https://market.icook.tw//products/blender-onemeter,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1200W,產地：台灣品牌，中國製造"
